TITLE,ABSTRACT,PUBLICATION YEAR,AUTHORS,JOURNAL,KEYWORDS
Enhanced customer requirement classification for product design using big data and improved Kano model,"The classification of customer requirements (CRs) has a significant impact on the solution of product design. Existing CRs classification methods such as the Kano model and IPA model are time-consuming and inaccurate. This paper proposes a CRs classification method for product design using big data of online customer reviews of products to classify CRs accurately and efficiently. Comments of customer reviews are matched to CRs using a hierarchical semantic similarity method. Customer satisfaction degrees are defined based on emotional levels of adjectives and adverbs of customer comments using word vectors. The function implementation degree of each product is determined by specifications crawled from online products. Fitting curves are formed by defined customer satisfaction and function implementation of CRs using polynomial modeling and least square methods. Based on the slope of the fitted curves, CRs are classified to provide the minimum and maximum function implementations of CRs in each CR group to guide a product design process. The proposed method is applied in a case study of defining CRs classifications for design of upper limb rehabilitation devices. For verifying the proposed method, CRs defined by the existing methods are compared with CRs from the proposed method in design of an upper limb rehabilitation device.",2021,"Shi, Yanlin; Peng, Qingjin",ADVANCED ENGINEERING INFORMATICS,Big data; Product design; Customer requirements; Function implementation; Kano model
A natural-language approach to biomimetic design,"This paper summarizes various aspects of identifying and applying biological analogies in engineering design using a natural-language approach. To avoid the immense as well as potentially biased task of creating a biological database specifically for engineering design, the chosen approach searches biological knowledge in natural-language format, such as books and papers, for instances of keywords describing the engineering problem. Strategies developed to facilitate this search are identified, and how text descriptions of biological phenomena are used in problem solving is summarized. Several application case studies are reported to illustrate the approach. The value of the natural-language approach is demonstrated by its ability to identify relevant biological analogies that are not limited to those entered into a database specifically for engineering design.",2010,"Shu, LH",AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,Analogical Reasoning; Biologically Inspired Design; Biomimetic Design; Design By Analogy; Natural-Language Approach; REMANUFACTURE
Three methods for identifying novel affordances,"We describe three approaches to identify novel product affordances: affordance of absence; insights from lead users, specifically do-it-yourselfers (DIYers); and natural-language searches. While these approaches were separately pursued, we show their connection to each other in this paper. We begin by describing the affordance of absence, inspired by insights on affordances arising from a lack of resources. For example, in the absence of specialized tools, more general tools are used to accomplish similar tasks. Such absence clarifies how other tools could be modified to add relevant features and identifies critical features of the absent tool. In addition, the temporary removal of physical features and objects enables user interaction in ways that may not emerge in their presence. Affordance of absence has the potential to more fully specify affordances for a given object and to help overcome functional fixedness. For the second approach, we describe insights from DIYers obtained from the IKEA hackers online community. We consider DIYers lead users for seeking out and exploiting product affordances, often transforming product functions dramatically. We also discuss their projects through the lens of affordance of absence. For the third approach, we outline our natural-language approach to affordance extraction, beginning with consumer product reviews provided for Canadian Tire, a major Canadian retailer. We describe efforts toward automatically identifying less common affordances, and the use of cue phrases to highlight insightful DIY transformations from the IKEA hackers community. Finally, we comment on the potential value of this work for product design in general.",2015,"Shu, LH; Srivastava, J; Chou, A; Lai, S",AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,Absence; Affordance; Lead Users; Natural-Language Search; Novelty; DESIGN
Evaluating the impact of Idea-Inspire 4.0 on analogical transfer of concepts,"The biological domain has the potential to offer a rich source of analogies to solve engineering design problems. However, due to the complexity embedded in biological systems, adding to the lack of structured, detailed, and searchable knowledge bases, engineering designers find it hard to access the knowledge in the biological domain, which therefore poses challenges in understanding the biological concepts in order to apply these concepts to engineering design problems. In order to assist the engineering designers in problem-solving, we report, in this paper, a web-based tool called Idea-Inspire 4.0 that supports analogical design using two broad features. First, the tool provides access to a number of biological systems using a searchable knowledge base. Second, it explains each one of these biological systems using a multi-modal representation: that is, using function decomposition model, text, function model, image, video, and audio. In this paper, we report two experiments that test how well the multi-modal representation in Idea-Inspire 4.0 supports understanding and application of biological concepts in engineering design problems. In one experiment, we use Bloom's method to test analysis and synthesis levels of understanding of a biological system. In the next experiment, we provide an engineering design problem along with a biological-analogous system and examine the novelty and requirement-satisfaction (two major indicators of creativity) of resulting design solutions. In both the experiments, the biological system (analogue) was provided using Idea-Inspire 4.0 as well as using a conventional text-image representation so that the efficacy of Idea-Inspire 4.0 is tested using a benchmark.",2018,"Siddharth, L; Chakrabarti, A",AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,Analogical and bio-inspired design; creativity and ideation; novelty; requirement-satisfaction; understanding; DESIGN; REPRESENTATION; GENERATION; INTEGRATION; INFORMATION; CREATIVITY; SYSTEMS
Toward Automatically Assessing the Novelty of Engineering Design Solutions,"We propose to automate the assessment of novelty during the early design stages, where the number of solution alternatives is high, and these alternatives are flexible. The novelty of a solution is measured as its distance from a reference product database. The distance is calculated by comparing the solution and a reference at different levels of abstraction, as defined by a casuality model called SAPPhIRE. The fundamental instrument of this comparison is a text similarity metric, which is integrated with the novelty score, a support for which is developed as an Android application, named IdeA-Novelty. The application of the algorithm upon 20 solutions reveals that the measurement is computationally expensive. The expert's ratings for the same solution set seem to vary drastically. We take this observation as the basis for an extensive discussion on novelty, an operational definition for which is proposed toward the end.",2020,"Siddharth, L; Madhusudanan, N; Chakrabarti, A",JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,artificial intelligence; computational synthesis; computer-aided design; data-driven engineering; engineering informatics; information management; knowledge engineering; SEMANTIC SIMILARITY; CREATIVITY; METHODOLOGY; PSYCHOLOGY; METRICS
"A machine learning approach to product review disambiguation based on function, form and behavior classification","Online product reviews have been shown to be a viable source of information for helping customers make informed purchasing decisions. In many cases, users of online shopping platforms have the ability to rate products on a numerical scale, and also provide textual feedback pertaining to a purchased product Beyond using online product review platforms as customer decision support systems, this information rich data source could also aid designers seeking to increase the chances of their products being successful in the market through a deeper understanding of market needs. However, the increasing size and complexity of products on the market makes manual analysis of such data challenging. Information obtained from such sources, if not mined correctly, risks misrepresenting a product's true success/failure (e.g., a customer leaves a one star rating because of the slow shipping service of a product, not necessarily that he/she dislikes the product). The objective of this paper is three fold: i) to propose a machine learning approach that disambiguates online customer review feedback by classifying them into one of three direct product characteristics (i.e., form, function or behavior) and two indirect product characteristics (i.e., service and other), ii) to discover the machine learning algorithm that yields the highest and most generalizable results in achieving objective i) and iii) to quantify the correlation between product ratings and direct and indirect product characteristics. A case study involving review data for products mined from e-commerce websites is presented to demonstrate the validity of the proposed method. A multilayered (i.e., k-fold and leave one out) validation approach is presented to explore the generalizability of the proposed method. The resulting machine learning model achieved classification accuracies of 82.44% for within product classification, 80.84% for across product classification, 79.03% for across product type classification and 80.64% for across product domain classification. Furthermore, it was determined that the form of a product had the highest Pearson Correlation Coefficient relating to a product's star rating, with a value of 0.934. The scientific contributions of this work have the potential to transform the manner in which both product designers and customers incorporate product reviews into their decision making processes by quantifying the relationship between product reviews and product characteristics. (C) 2017 Elsevier B.V. All rights reserved.",2017,"Singh, Abhinav; Tucker, Conrad S.",DECISION SUPPORT SYSTEMS,Machine learning; Product attribute extraction; Product design; Product reviews; Text mining
What Makes Good Design? Revealing the Predictive Power of Emotions and Design Dimensions in Non Expert Design Vocabulary,"This paper investigates how nonexperts perceive digital design, and which psychological dimensions are underlying this perception of design. It thus constructs a measurement instrument to analyse user response to online displayed design and to predict design preference. Study 1 let non-experts rank the usefulness of 115 adjectives for describing good design in an online survey (n = 305). This item pool was condensed to 12 design descriptive and five emotion items. Exploratory factor analysis revealed the four underlying psychological dimensions Novelty, Energy, Simplicity and Tool. Study 2 (n = 1955) tested Study 2's model in three real-world design projects. Emotions clearly outperformed the best design descriptive dimensions (Novelty and Tool) in predicting users' design preference (Net Promoter Score) with beta = .82. Study 3 (n =1955) confirmed Study 2's results by several machine learning algorithms (neural networks, gradient boosting machines, random forests) with cross-validation. This measurement instrument benefits designers to implement a participatory design thinking process with users.",2019,"So, Chaehan",DESIGN JOURNAL,machine learning; design thinking; participatory design; user-centred design; design psychology
Development of a service evolution map for service design through application of text mining to service documents,"As digital convergence has proliferated and products have become smarter, various service concepts have emerged based on the capabilities of products. It has become a main concern to illuminate historical changes and status of service concepts according to the utilisation of product elements to provide valuable information for service development. However, a lacuna still remains in the literature regarding a systematic and quantitative approach on this problem. This study proposes a service evolution map as a tool for analysing the evolutionary paths of service concepts based on the utilisation of product elements. The proposed service evolution map consists of two layers with the time dimension: a product element layer for the utilisation of product elements and a service concept layer for the evolutionary paths of service concepts. Based on the service documents describing what the services are, text mining, co-word analysis, and modified formal concept analysis are employed to develop the product element and service concept layers, respectively. A case study of mobile application services is presented to illustrate the proposed approach. This study is expected to be a basis of future research on the interaction between products and services and service concept design based on the creative utilisation of product elements.",2017,"Song, B; Yoon, B; Lee, C; Park, Y",RESEARCH IN ENGINEERING DESIGN,Service evolution map; Text mining; Co-word analysis; Formal concept analysis; Service documents; BUSINESS SERVICES; PRODUCT; TECHNOLOGY; INFORMATION; INTELLIGENCE; INNOVATION
"Design-by-Analogy: Exploring for Analogical Inspiration With Behavior, Material, and Component-Based Structural Representation of Patent Databases","Design-by-analogy (DbA) is an important method for innovation that has gained much attention due to its history of leading to successful and novel design solutions. The method uses a repository of existing design solutions where designers can recognize and retrieve analogical inspirations. Yet, exploring for analogical inspiration has been a laborious task for designers. This work presents a computational methodology that is driven by a topic modeling technique called non-negative matrix factorization (NMF). NMF is widely used in the text mining field for its ability to discover topics within documents based on their semantic content. In the proposed methodology, NMF is performed iteratively to build hierarchical repositories of design solutions, with which designers can explore clusters of analogical stimuli. This methodology has been applied to a repository of mechanical design-related patents, processed to contain only component-, behavior-, or material-based content to test if unique and valuable attribute-based analogical inspiration can be discovered from the different representations of patent data. The hierarchical repositories have been visualized, and a case study has been conducted to test the effectiveness of the analogical retrieval process of the proposed methodology. Overall, this paper demonstrates that the exploration-based computational methodology may provide designers an enhanced control over design repositories to retrieve analogical inspiration for DbA practice.",2019,"Song, Hyeonik; Fu, Katherine",JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,;
Deep learning-based extraction of predicate-argument structure (PAS) in building design rule sentences,"This paper describes an approach to extracting a predicate-argument structure (PAS) in building design rule sentences using natural language processing (NLP) and deep learning models. For the computer to reason about the compliance of building design, design rules represented by natural language must be converted into a computer-readable format. The rule interpretation and translation processes are challenging tasks because of the vagueness and ambiguity of natural language. Many studies have proposed approaches to address this problem, but most of these are dependent on manual tasks, which is the bottleneck to expanding the scope of design rule checking to design requirements from various documents. In this paper, we apply deep learning-based NLP techniques for translating design rule sentences into a computer-readable data structure. To apply deep learning-based NLP techniques to the rule interpretation process, we identified the semantic role elements of building design requirements and defined a PAS for design rule checking. Using a bidirectional long short-term memory model with a conditional random field layer, the computer can intelligently analyze constituents of building design rule sentences and automatically extract the logical elements. The proposed approach contributes to broadening the scope of building information modeling-enabled rule checking to any natural language-based design requirements.",2020,"Song, Jaeyeol; Lee, Jin-Kook; Choi, Jungsik; Kim, Inhan",JOURNAL OF COMPUTATIONAL DESIGN AND ENGINEERING,automated rule checking; building information modeling (BIM); natural language processing (NLP); predicate argument structure
A comparative study of abstractive and extractive summarization techniques to label subgroups on patent dataset,"Patents are an important source of information for measuring the technological advancement of a specific knowledge domain. To facilitate the search for information in patent datasets, classification systems separate documents into groups according to the area of knowledge, and designate names to define their content. The increase in the number of patented inventions leads to the need to subdivide these groups. Since these groups belong to a restricted knowledge domain, naming the generated subcategories can be extremely laborious. This work aims to compare the performance of abstractive and extractive summarization techniques in the task of generating sentences directly associated with the content of patents. The abstractive summarization model was composed by a Seq2Seq architecture and a LSTM network. The training was conducted with a dataset of patent titles and abstracts. The validation process was performed using the ROUGE set of metrics. The results obtained by the generated model were compared with the sentence resulting from an extractive summarization algorithm applied to the task of naming patent groups. The main idea was to help the specialist to name new patent groups created by the clustering systems. The naming experiments were performed on the dataset of abstracts of patent documents. Comparative experiments were conducted using four subgroups of the United States Patent and Trademark Office, which uses the Cooperative Patent Classification system.",2021,"Souza, Cinthia M.; Meireles, Magali R. G.; Almeida, Paulo E. M.",SCIENTOMETRICS,Knowledge representation; Automatic text summarization; Computational intelligence; Information systems; Patent datasets
A study on the grammatical construction of function structures,"Function structures are used during conceptual engineering design to transform the customer requirements into specific functional tasks. Although they are usually constructed from a well-understood black-box description of an artifact, there is no clear approach or formal set of rules that guide the creation of function structures. To remedy the unclear formation of such structures and to provide the potential for automated reasoning of such structures, a graph grammar is developed and implemented. The grammar can be used by a designer to explore various solutions to a conceptual design problem. Furthermore, the grammar aids in disseminating engineering functional information and in teaching the function structure concept to untrained engineers. Thirty products are examined as a basis for developing the grammar rules, and the rules are implemented in an interactive user environment. Experiments with student engineers and with the automated creation of function structures validate the effectiveness of the grammar rules.",2005,"Sridharan, P; Campbell, MI",AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,conceptual design; function structures; knowledge representation; shape grammars; tree search; REPRESENTATION; LANGUAGE; SHAPE
Development of a functional basis for design,"Functional models represent a form independent blueprint of a product. As with any blueprint or schematic. a consistent language or coning system is required to ensure others can read it. This paper introduces such a design language. called a functional basis,,there product function is characterized in a verb-object (function-flow) format. The set of functions and flows is intended to comprehensively describe the mechanical design space. Clear definitions are provided for each function and flow. The functional basis is compared to previous functional representations and is shown to subsume these attempts as well as offer a more consistent classification scheme. Applications to the areas of product architecture development. function structure generation, and design information archival and transmittal are discussed. [S1050-0472(00)00704-2].",2000,"Stone, RB; Wood, KL",JOURNAL OF MECHANICAL DESIGN,;
Reasoning about designs through frequent patterns mining,This paper deals with reasoning about designs based on their internal structures in the form of attributed hypergraphs. A database containing hypergraphs representing solutions of similar design tasks is searched for frequently occurring subgraphs. On the basis of search results the quality of newly created solutions is evaluated. Moreover the syntactic reasoning rules are specified by the designer on the basis of the design knowledge concerning a given task and used to evaluate hypergraphs representing new solutions. (C) 2009 Elsevier Ltd. All rights reserved.,2009,"Strug, B.; Slusarczyk, G.",ADVANCED ENGINEERING INFORMATICS,;
Dynamical mining of ever-changing user requirements: A product design and improvement perspective,"Previous studies carried out customer surveys by questionnaires to collect data for analyzing consumer requirements. In recent years, a large and growing body of literature has investigated the extraction of customer requirements and preferences from online reviews. However, since customer requirements change dynamically over time, traditional studies failed to obtain the change data of customer requirements and opinions based on sentiments expressed in reviews. In this paper, a new method for dynamically mining user requirements is proposed, which is used to analyze the changing behavior of product attributes and improve product design. Dynamic mining differs from the traditional need acquisition mainly in three aspects: (1) it involves dynamically mining user requirements over time (2) it adds changes in manufacturers' opinions to the analysis (3) it allows for product improvement strategies based on the changing behavior of product attributes. First, text mining is adopted to collect customer and manufacturer review data for different time periods and extract product attributes. A Natural Language Processing tool is used to measure the importance weight and sentiment score of product attributes. Second, an approach for dynamically mining user requirements is introduced to classify product attributes and analyze the changes of attribute data in three categories over time. Finally, an improvement strategy for next-generation product design is developed based on the changing behavior of attributes. Moreover, a case study on vehicles based on online reviews was conducted to illustrate the proposed methodology. Our research suggests that the proposed approach can accurately mine customer requirements and lead to successful product improvement strategies for next-generation products.",2020,"Sun, Hui; Guo, Wei; Shao, Hongyu; Rong, Bo",ADVANCED ENGINEERING INFORMATICS,Online reviews; Dynamic changes; Product improvement; Requirement mining
Exploring eWOM in online customer reviews: Sentiment analysis at a fine-grained level,"Customer reviews in social media and electronic commerce Web sites contain valuable electronic word-of-mouth (eWOM) information of products, which facilitates firms' business strategy and individual consumers' comparison shopping. Exploring eWOM of products embedded in customer reviews has attracted interest from researchers in various fields. Coarse-grained and context-free sentiment analysis approaches have been used in existing researches, which however often fail to satisfy the firms' demands of fine-grained extraction of market intelligence from social media. In this study, we propose an original method to explore eWOM of products based on sentiment analysis at fine-grained level from a large volume of online customer reviews. We illustrate a feature-based and context-sensitive sentiment analysis mechanism that can leverage the sheer volume of customer reviews in social media sites. A novel semi-supervised fuzzy product ontology mining algorithm is proposed to extract semantic knowledge from online customer reviews with positive or negative labels. Based on real-world online customer review data set, the proposed method shows remarkable performance improvement over baseline methods at exploring eWOM of product a fine-grained level. With the novel eWOM exploring method, firms can improve their product design and marketing strategies, and potential consumers can make better online purchase decisions.",2019,"Sun, Qing; Niu, Jianwei; Yao, Zhong; Yan, Hao",ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,Sentiment analysis; eWOM; Fuzzy product ontology
A Systematic Methodology Based on Word Embedding for Identifying the Relation Between Online Customer Reviews and Sales Rank,"In the buying decision process, online reviews become an important source of information. They become the basis of evaluating alternatives before making purchase decision. This paper proposes a methodology to reveal one of the hidden alternative evaluation processes by identifying the relation between the observable online customer reviews and sales rank. This methodology applies a combined approach of word embedding (word2vec) and X-means clustering, which produces product-feature words. It is followed by identifying sentiment words and their intensity, determining connection of words from dependency tree, and finally relating variables from the reviews to the sales rank of a product by a regression model. The methodology is applied to two data sets of wearable technology and laptop products. As implied by the high predicted R-squared values, the models are generalizable into new data sets. Among the interesting findings are the statements of problems or issues of a product are related to better sales rank, and many product features that are mentioned in the review title are significantly related to sales rank. For product designers, the significant variables in the regression models suggest the possible product features to be improved.",2018,"Suryadi, D; Kim, H",JOURNAL OF MECHANICAL DESIGN,; PRODUCT FEATURE-EXTRACTION; CONSUMER REVIEWS; OPINION
A Data-Driven Approach to Product Usage Context Identification From Online Customer Reviews,"This paper proposes a data-driven methodology to automatically identify product usage contexts from online customer reviews. Product usage context is one of the factors that affect product design, consumer behavior, and consumer satisfaction. The previous works identify the usage contexts using the survey-based method or subjectively determine them. The proposed methodology, on the other hand, uses machine learning and Natural Language Processing tools to identify and cluster usage contexts from a large volume of customer reviews. Furthermore, aspect sentiment analysis is applied to capture the sentiment toward a particular usage context in a sentence. The methodology is implemented to two data sets of products, i.e., laptop and tablet. The result shows that the methodology is able to capture relevant product usage contexts and cluster bigrams that refer to similar usage context. The aspect sentiment analysis enables the observation of a product's position with respect to its competitors for a particular usage context. For a product designer, the observation may indicate a requirement to improve the product. It may also indicate a possible market opportunity in a usage context in which most of the current products are perceived negatively by customers. Finally, it is shown that overall rating might not be a strong indicator for representing customer sentiment toward a particular usage context, due to the moderate linear correlation for most of the usage contexts in the case study.",2019,"Suryadi, D; Kim, HM",JOURNAL OF MECHANICAL DESIGN,design methodology; usage context; Natural Language Processing; customer reviews; SENTIMENT ANALYSIS
Semantic Modelling of Engineering Designs,"The entity-relationship (E-R) approach is a widely used technique for the semantic modelling of commercial database systems. This paper demonstrates that the ER method can also be applied in the modelling of static design knowledge for knowledge-based engineering design systems. It presents the basic definitions of the E-R data modelling method and describes some extensions which are useful to model the functionality of system components. It demonstrates the use of this method to produce a generic model of a centrifugal hydraulic pump, which is being used in the implementation of an object-oriented intelligent CAD system. Finally, conclusions on the suitability of the entity-relationship for engineering knowledge representation are drawn.",1993,"Taleb-Bendiab, A; Oh, V; Sommerville, I; French, M",JOURNAL OF ENGINEERING DESIGN,; 
"Integrating Topic, Sentiment, and Syntax for Modeling Online Reviews: A Topic Model Approach","Analyzing product online reviews has drawn much interest in the academic field. In this research, a new probabilistic topic model, called tag sentiment aspect models (TSA), is proposed on the basis of Latent Dirichlet allocation (LDA), which aims to reveal latent aspects and corresponding sentiment in a review simultaneously. Unlike other topic models which consider words in online reviews only, syntax tags are taken as visual information and, in this research, as a kind of widely used syntax information, part-of-speech (POS) tags are first reckoned. Specifically, POS tags are integrated into three versions of implementation in consideration of the fact that words with different POS tags might be utilized to express consumers' opinions. Also, the proposed TSA is one unsupervised approach and only a small number of positive and negative words are required to confine different priors for training. Finally, two big datasets regarding digital SLR and laptop are utilized to evaluate the performance of the proposed model in terms of sentiment classification and aspect extraction. Comparative experiments show that the new model can not only achieve promising results on sentiment classification but also leverage the performance on aspect extraction.",2019,"Tang, M; Jin, J; Liu, Y; Li, CP; Zhang, WW",JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,topic model; sentiment analysis; tag sentiment aspect; online review analysis; opinion mining; PRODUCT REVIEWS; SPEECH; TAGGER
Natural language processing for aviation safety reports: From classification to interactive analysis,"In this paper we describe the different NLP techniques designed and used in collaboration between the CLLE-ERSS research laboratory and the CFH/Safety Data company to manage and analyse aviation incident reports. These reports are written every time anything abnormal occurs during a civil air flight. Although most of them relate routine problems, they are a valuable source of information about possible sources of greater danger. These texts are written in plain language, show a wide range of linguistic variation (telegraphic style overcrowded by acronyms or standard prose) and exist in different languages, even for a single company/country (although our main focus is on English and French). In addition to their variety, their sheer quantity (e.g. 600/month for a large airline company) clearly requires the use of advanced NLP and text mining techniques in order to extract useful information from them. Although this context and objectives seem to indicate that standard NLP techniques can be applied in a straightforward manner, innovative techniques are required to handle the specifics of aviation report text and the complex classification systems. We present several tools that aim at a better access to this data (classification and information retrieval), and help aviation safety experts in their analyses (data text mining and interactive analysis). Some of these tools are currently in test or in use both at the national and international levels, by airline companies as well as by regulation authorities (DGAC,(1) EASA,(2) ICAO(3)). (C) 2015 Elsevier B.V. All rights reserved.",2016,"Tanguy, Ludovic; Tulechki, Nikola; Urieli, Assaf; Hermann, Eric; Raynal, Celine",COMPUTERS IN INDUSTRY,NLP; Text mining; Aviation; Document classification; Safety reports
A knowledge centric methodology for dental implant technology assessment using ontology based patent analysis and clinical meta-analysis,"The medical equipment industry has been one of the fastest growing sectors of the decade with predicted global sales reaching US$ 430 billion in 2017 [22]. During the period from 1995 to 2008, the patent applications in medical technology increased rapidly worldwide (World Intellectual Property Organization, 2012). Patent analysis, although useful in forecasting technology development trends, has posed a challenging analysis task since the volume and diversity of new patent applications has surpassed the ability of regular firms and research teams to process and identify relevant information. Further, medical related technologies rely on clinical trials to validate and gain regulatory approval for patient treatment even though patents, protecting the intellectual property rights of inventors, have been granted. This research focuses on developing a knowledge centric methodology and system to analyze and assess viable medical technology innovations and trends considering both patents and clinical reports. Specifically, the design innovations of dental implant connections are used as a case study. A novel and generic methodology combining ontology based patent analysis and clinical meta-analysis is developed to analyze and identify the most effective patented techniques in the dental implant field. The research establishes and verifies a computer supported analytical approach and system for the strategic prediction of medical technology development trends. (C) 2014 Elsevier Ltd. All rights reserved.",2014,"Trappey, Charles V.; Trappey, Amy J. C.; Peng, Hsin-Yi; Lin, Li-Deh; Wang, Tong-Mei",ADVANCED ENGINEERING INFORMATICS,Patent analysis; Meta-analysis; Clinical trials; Ontology schema
Automated Discovery of Product Feature Inferences Within Large-Scale Implicit Social Media Data,"Recently, social media has emerged as an alternative, viable source to extract large-scale, heterogeneous product features in a time and cost-efficient manner. One of the challenges of utilizing social media data to inform product design decisions is the existence of implicit data such as sarcasm, which accounts for 22.75% of social media data, and can potentially create bias in the predictive models that learn from such data sources. For example, if a customer says I just love waiting all day while this song downloads, an automated product feature extraction model may incorrectly associate a positive sentiment of love to the cell phone's ability to download. While traditional text mining techniques are designed to handle well-formed text where product features are explicitly inferred from the combination of words, these tools would fail to process these social messages that include implicit product feature information. In this paper, we propose a method that enables designers to utilize implicit social media data by translating each implicit message into its equivalent explicit form, using the word concurrence network. A case study of Twitter messages that discuss smartphone features is used to validate the proposed method. The results from the experiment not only show that the proposed method improves the interpretability of implicit messages, but also sheds light on potential applications in the design domains where this work could be extended.",2018,"Tuarob, S; Lim, S; Tucker, CS",JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,; METHODOLOGY; KNOWLEDGE
Quantifying Product Favorability and Extracting Notable Product Features Using Large Scale Social Media Data,"Some of the challenges that designers face in getting broad external input from customers during and after product launch include geographic limitations and the need for physical interaction with the design artifact(s). Having to conduct such user-based studies would require huge amounts of time and financial resources. In the past decade, social media has emerged as an increasingly important medium of communication and information sharing. Being able to mine and harness product-relevant knowledge within such a massive, readily accessible collection of data would give designers an alternative way to learn customers' preferences in a timely and cost-effective manner. In this paper, we propose a data mining driven methodology that identifies product features and associated customer opinions favorably received in the market space which can then be integrated into the design of next generation products. Two unique product domains (smartphones and automobiles) are investigated to validate the proposed methodology and establish social media data as a viable source of large scale, heterogeneous data relevant to next generation product design and development. We demonstrate in our case studies that incorporating suggested features into next generation products can result in favorable sentiment from social media users.",2015,"Tuarob, S; Tucker, CS",JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,; WORD-OF-MOUTH; CONSUMERS; NETWORKS
Analysing frequent natural language expressions from design conversations,"This paper extracts and analyses the most frequent natural language expressions used by participants in two real-world collaborative design sessions. The frequent expressions are extracted using the natural language processing technique of word sequence tokenisation. We then select a set of frequent expressions related to design changes. The boundaries of these are expanded by extracting the progression trends to identify specific speaker intents. These are analysed in detail while focusing on ambiguity and vagueness, aiming at identifying speakers' precision when communicating design changes. We found that frequently used expressions play the role of language markers. In our discussion, we suggest that ambiguous and vague expressions used by participants can initiate mindful explorations of design space. (c) 2020 Elsevier Ltd. All rights reserved.",2021,"Ungureanu, LC; Hartmann, T",DESIGN STUDIES,communication; collaborative design; architectural design; natural language; 
A scalable approach for ideation in biologically inspired design,"This paper presents a bioinspiration approach that is able to scalably leverage the ever-growing body of biological information in natural-language format. The ideation tool AskNature, developed by the Biomimicry 3.8 Institute, is expanded with an algorithm for automated classification of biological strategies into the Biomimicry Taxonomy, a three-level, hierarchical information structure that organizes AskNature's database. In this way, the manual work entailed by the classification of biological strategies can be alleviated. Thus, the bottleneck is removed that currently prevents the integration of large numbers of biological strategies. To demonstrate the feasibility of building a scalable bioideation system, this paper presents tests that classify biological strategies from AskNature's reference database for those Biomimicry Taxonomy classes that currently hold sufficient reference documents.",2015,"Vandevenne, D; Verhaegen, PA; Dewulf, S; Duflou, JR",AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,Bioinspired Design; Biomimicry; Creativity and Ideation; 
SEABIRD: Scalable search for systematic biologically inspired design,"As more and more people are increasingly turning to nature for design inspiration, tools and methodologies are developed to support the systematic bioideation process. State-of-the-art approaches struggle with expanding their knowledge bases because of interactive work required by humans per biological strategy. As an answer to this persistent challenge, a scalable search for systematic biologically inspired design (SEABIRD) system is proposed. This system leverages experience from the product aspects in design by analogy tool that identifies candidate products for between-domain design by analogy. SEABIRD is based on two conceptual representations, product and organism aspects, extracted from, respectively, a patent and a biological database, that enable leveraging the ever growing body of natural-language biological texts in the systematic bioinspired design process by eliminating interactive work by humans during corpus expansion. SEABIRD's search is illustrated and validated with three well-known biologically inspired design cases.",2016,"Vandevenne, D; Verhaegen, PA; Dewulf, S; Duflou, JR",AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,Bioinspired Design; Biologically Inspired Design; Biomimicry; Creativity and Ideation; BIOMIMETIC DESIGN; REPRESENTATION
QuenchML: A semantics-preserving markup language for knowledge representation in quenching,"Knowledge representation (KR) is an important area in artificial intelligence (AI) and is often related to specific domains. The representation of knowledge in domain-specific contexts makes it desirable to capture semantics as domain experts would. This motivates the development of semantics-preserving standards for KR within the given domain. In addition to the storage and analysis of information using such standards, the effect of globalization today necessitates the publishing of information on the Web. Thus, it is advisable to use formats that make the information easily publishable and accessible while developing KR standards. In this article, we propose such a standard called Quenching Markup Language (QuenchML). This follows the syntax of the eXtensible Markup Language and captures the semantics of the quenching domain within the heat treating of materials. We describe the development of QuenchML, a multidisciplinary effort spanning the realms of AI, database management, and materials science, considering various aspects such as ontology, data modeling, and domain-specific constraints. We also explain the usefulness of QuenchML in semantics-preserving information retrieval and in text mining guided by domain knowledge. Furthermore, we outline the significance of this work in software tools within the field of AI.",2013,"Varde, AS; Maniruzzaman, M; Sisson, RD",AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,Domain Expertise; Heat Treating of Materials; Information Retrieval; Semantic Web; Text Mining; XML; DESIGN; WEB
